virtual_count,user_count,repeats,planned_calls_mean,create_success_rate_mean,terminal_completed_rate_mean,create_p95_ms_mean,settle_p95_ms_mean,lifecycle_p95_ms_mean,peak_active_calls_mean,peak_load_per_cpu_1m_mean,peak_heap_usage_ratio_mean,peak_rss_mb_mean
10,20,2,40,0.225,1,125.5,2012,1495,10,0.0688,0.6334,76.21
10,40,2,80,0.1,1,83,2011.5,1488.5,10,0.06,0.7178,72.64
10,60,2,120,0.075,0.9,71,2014,1481,10,0.0513,0.7788,73.68
10,80,2,160,0.0531,0.9444,99.5,2011,1492.5,10,0.0438,0.7262,73.61
10,100,2,200,0.045,1,98.5,2008.5,1476,10,0.0363,0.6846,73.85
20,20,2,40,0.5125,0.9055,164,2021,1494.5,20,0.0313,0.6916,69.5
20,40,2,80,0.225,1,174,2027.5,1486,20,0.0263,0.7419,71.57
20,60,2,120,0.1667,0.9318,147.5,2019,1490.5,20,0.0225,0.667,72.17
20,80,2,160,0.1344,0.9307,225.5,2028.5,1481.5,17.5,0.0188,0.6118,72.58
20,100,2,200,0.1,0.925,152.5,2021,1491,20,0.035,0.734,74.05
30,20,2,40,0.8125,0.9236,206.5,2033,1499,26,0.0325,0.8141,74.82
30,40,2,80,0.3625,0.9828,207.5,2030.5,1501.5,22,0.0275,0.8524,57.29
30,60,2,120,0.2875,0.95,220,2028,1497.5,24,0.0225,0.9183,61.3
30,80,2,160,0.2281,0.8765,280,2022.5,1493,19.5,0.04,0.7517,63.11
30,100,2,200,0.1625,0.9272,201.5,2024,1492.5,25.5,0.0338,0.8043,66.83
