repeat,virtual_count,user_count,planned_calls,create_success,create_failed,terminal_completed,terminal_failed,terminal_timeout,create_success_rate,terminal_completed_rate,create_p95_ms,settle_p95_ms,lifecycle_p95_ms,peak_active_calls,peak_load_per_cpu_1m,peak_heap_usage_ratio,peak_rss_mb,overview_samples,overview_sample_errors
1,10,20,40,10,30,10,0,0,0.25,1,147,2013,1500,10,0.0775,0.5735,86.16,4,0
1,10,40,80,8,72,8,0,0,0.1,1,79,2012,1488,10,0.065,0.563,86.7,4,0
1,10,60,120,8,112,8,0,0,0.06666666666666667,1,65,2018,1484,10,0.055,0.6022,87.03,4,0
1,10,80,160,9,151,8,1,0,0.05625,0.8888888888888888,104,2012,1499,10,0.0475,0.5018,83.33,4,0
1,10,100,200,8,192,8,0,0,0.04,1,74,2009,1477,10,0.04,0.4152,83.33,4,0
1,20,20,40,22,18,19,3,0,0.55,0.8636363636363636,160,2021,1498,20,0.0325,0.5145,83.74,4,0
1,20,40,80,18,62,18,0,0,0.225,1,147,2032,1481,20,0.0275,0.5325,84.63,4,0
1,20,60,120,22,98,19,3,0,0.18333333333333332,0.8636363636363636,141,2018,1488,20,0.0225,0.3917,84.63,4,0
1,20,80,160,21,139,20,1,0,0.13125,0.9523809523809523,299,2019,1468,20,0.02,0.4841,84.89,4,0
1,20,100,200,20,180,19,1,0,0.1,0.95,124,2016,1493,20,0.035,0.6132,85.11,4,0
1,30,20,40,31,9,29,2,0,0.775,0.9354838709677419,187,2034,1499,30,0.035,0.8901,85.11,4,0
1,30,40,80,29,51,28,1,0,0.3625,0.9655172413793104,224,2028,1511,19,0.03,0.8482,53.18,4,0
1,30,60,120,29,91,29,0,0,0.24166666666666667,1,208,2029,1491,23,0.025,0.9412,57.51,4,0
1,30,80,160,36,124,31,5,0,0.225,0.8611111111111112,246,2024,1496,20,0.0625,0.7262,59.38,4,0
1,30,100,200,36,164,32,4,0,0.18,0.8888888888888888,174,2031,1491,29,0.0525,0.753,65.97,4,0
2,10,20,40,8,32,8,0,0,0.2,1,104,2011,1490,10,0.06,0.6932,66.25,4,0
2,10,40,80,8,72,8,0,0,0.1,1,87,2011,1489,10,0.055,0.8725,58.57,4,0
2,10,60,120,10,110,8,2,0,0.08333333333333333,0.8,77,2010,1478,10,0.0475,0.9553,60.32,4,0
2,10,80,160,8,152,8,0,0,0.05,1,95,2010,1486,10,0.04,0.9505,63.88,4,0
2,10,100,200,10,190,10,0,0,0.05,1,123,2008,1475,10,0.0325,0.9539,64.38,4,0
2,20,20,40,19,21,18,1,0,0.475,0.9473684210526315,168,2021,1491,20,0.03,0.8686,55.25,4,0
2,20,40,80,18,62,18,0,0,0.225,1,201,2023,1491,20,0.025,0.9513,58.51,4,0
2,20,60,120,18,102,18,0,0,0.15,1,154,2020,1493,20,0.0225,0.9422,59.71,4,0
2,20,80,160,22,138,20,2,0,0.1375,0.9090909090909091,152,2038,1495,15,0.0175,0.7395,60.27,4,0
2,20,100,200,20,180,18,2,0,0.1,0.9,181,2026,1489,20,0.035,0.8548,62.98,4,0
2,30,20,40,34,6,31,3,0,0.85,0.9117647058823529,226,2032,1499,22,0.03,0.7382,64.53,4,0
2,30,40,80,29,51,29,0,0,0.3625,1,191,2033,1492,25,0.025,0.8566,61.39,4,0
2,30,60,120,40,80,36,4,0,0.3333333333333333,0.9,232,2027,1504,25,0.02,0.8953,65.09,4,0
2,30,80,160,37,123,33,4,0,0.23125,0.8918918918918919,314,2021,1490,19,0.0175,0.7773,66.84,4,0
2,30,100,200,29,171,28,1,0,0.145,0.9655172413793104,229,2017,1494,22,0.015,0.8555,67.68,4,0
